"scenario","rate_mt","L_mid","L_top","f1","f2","f3"
3,0.91,2,8,303846970.078594,62981159.2767582,3929152500
1,0.92,2,8,139406605.960026,18632056.4698932,1324110000
3,0.92,2,8,306954482.039623,63736688.6885229,3972330000
1,0.93,2,8,140161867.669926,18933821.1757756,1338502500
3,0.93,2,8,310072278.409226,64492218.1002876,4015507500
1,0.94,2,8,140914015.571568,19235585.881658,1352895000
3,0.94,2,8,312977064.046152,65265351.0704395,4058685000
1,0.95,2,8,141698896.949161,19537350.5875403,1367287500
3,0.95,2,8,315800586.029904,66047704.0116159,4101862500
1,0.96,2,8,142436903.708628,19839115.2934227,1381680000
3,0.96,2,8,318872927.02877,66798984.9948799,4145040000
1,0.97,2,8,143076636.067165,20140879.999305,1396072500
3,0.97,2,8,321694985.8523,67581337.9360563,4188217500
1,0.98,2,8,143763190.689013,20442644.7051874,1410465000
3,0.98,2,8,324535430.959558,68363690.8772328,4231395000
1,0.99,2,8,144438071.900835,20744409.4110697,1424857500
3,0.99,2,8,327446296.462061,69136443.096358,4274572500
1,1,2,8,155232907.919142,18643995.3426534,1439250000
3,1,2,8,330714630.08137,69886541.9129629,4317750000
1,0.8,3,8,181523385.168391,7822791.59057378,1151400000
3,0.8,3,8,490197101.75311,24070416.6213373,3454200000
1,0.81,3,8,183612435.248238,7932805.29954753,1165792500
3,0.81,3,8,485964688.379547,25283725.351213,3497377500
1,0.82,3,8,185640217.106732,8124411.00742084,1180185000
3,0.82,3,8,491587118.416601,25721842.9982718,3540555000
1,0.83,3,8,188035947.047633,8156334.71131224,1194577500
3,0.83,3,8,497148027.44722,26159960.6453306,3583732500
1,0.84,3,8,190247291.585448,8268099.41719458,1208970000
3,0.84,3,8,502580003.492686,26622087.8151647,3626910000
1,0.85,3,8,192456776.485978,8379864.12307694,1223362500
3,0.85,3,8,507783403.550895,27115152.814678,3670087500
1,0.86,3,8,194554079.042689,8504125.36632762,1237755000
3,0.86,3,8,513387285.903836,27566682.2264427,3713265000
1,0.87,3,8,196676011.815798,8638243.01338644,1252147500
3,0.87,3,8,511673521.605195,30661894.3886951,3756442500
1,0.88,3,8,198769895.866001,8772360.66044527,1266540000
3,0.88,3,8,515939123.214514,31208688.6885228,3799620000
1,0.89,3,8,200853509.311379,8906478.30750409,1280932500
3,0.89,3,8,521554463.546188,31628923.9826405,3842797500
1,0.9,3,8,202972389.907229,9053065.93859186,1295325000
3,0.9,3,8,527048723.636382,32049159.2767582,3885975000
1,0.91,3,8,205020382.180778,9174713.60162173,1309717500
3,0.91,3,8,532685205.372711,32469394.5708758,3929152500
1,0.92,3,8,207110827.49435,9308831.24868056,1324110000
3,0.92,3,8,538307423.216093,32889629.8649935,3972330000
1,0.93,3,8,209199282.481562,9442948.8957394,1338502500
3,0.93,3,8,543939925.46805,33309865.1591112,4015507500
1,0.94,3,8,211284623.660515,9577066.5427982,1352895000
3,0.94,3,8,549359416.987328,33747704.011616,4058685000
1,0.95,3,8,213402698.315418,9711184.18985704,1367287500
3,0.95,3,8,554697644.853433,34194762.8351453,4101862500
1,0.96,3,8,215504476.91956,9845301.83691586,1381680000
3,0.96,3,8,560284691.734653,34610749.7007622,4145040000
1,0.97,3,8,217588090.364938,9979419.48397468,1396072500
3,0.97,3,8,565621456.440535,35057808.5242916,4188217500
1,0.98,3,8,219671703.810317,10113537.1310335,1410465000
3,0.98,3,8,570976607.430146,35504867.347821,4231395000
1,0.99,3,8,221743643.845668,10247654.7780923,1424857500
3,0.99,3,8,576402178.815002,35942325.4492992,4274572500
1,1,3,8,233935538.687504,7979593.65085247,1439250000
3,1,3,8,582185218.316665,36357130.148257,4317750000
1,0.8,4,8,168594836.267918,10083992.3176833,1151400000
3,0.8,4,8,514560976.283027,25276882.3044731,3454200000
1,0.81,4,8,169927622.132912,10321380.5946788,1165792500
3,0.81,4,8,508217979.343019,26802879.4430006,3497377500
1,0.82,4,8,171091622.478802,10658280.4201992,1180185000
3,0.82,4,8,511282888.140037,27620997.0900594,3540555000
1,0.83,4,8,172594827.544739,10835498.2417376,1194577500
3,0.83,4,8,514530267.758891,28439114.7371182,3583732500
1,0.84,4,8,173829029.225411,11092557.0652671,1208970000
3,0.84,4,8,517726366.199965,29257232.384177,3626910000
1,0.85,4,8,175061371.268798,11349615.8887965,1223362500
3,0.85,4,8,520744293.188836,30097633.8725873,3670087500
1,0.86,4,8,176181530.968367,11619171.2496942,1237755000
3,0.86,4,8,524000904.562951,30910722.1078814,3713265000
1,0.87,4,8,177326320.884333,11898583.0144001,1252147500
3,0.87,4,8,526501130.782477,31777699.9466989,3756442500
1,0.88,4,8,178443062.077393,12177994.779106,1266540000
3,0.88,4,8,529556330.389005,32579722.340714,3799620000
1,0.89,4,8,179549532.665628,12457406.5438119,1280932500
3,0.89,4,8,532660481.446164,33400075.2818904,3842797500
1,0.9,4,8,178809101.313787,13018169.5911965,1295325000
3,0.9,4,8,535445870.660176,34220428.2230669,3885975000
1,0.91,4,8,181762119.820741,13016230.0732236,1309717500
3,0.91,4,8,538174151.351981,35040781.1642434,3929152500
1,0.92,4,8,182875422.277171,13295641.8379295,1324110000
3,0.92,4,8,540801394.405447,35861134.1054199,3972330000
1,0.93,4,8,183986734.407239,13575053.6026354,1338502500
3,0.93,4,8,543438921.867488,36681487.0465963,4015507500
1,0.94,4,8,185094932.729049,13854465.3673413,1352895000
