"seed","method","evaluation","phase","scenario","rate_mt","L_mid","L_top","f1_retained_integral_m3yr","f2_unretained_final_m3","f3_total_cost_eur"
1,"EHVI",15,"initial",3,0.821588725177571,8,4,420959544.919409,27750973.5004692,3547414718.13546
1,"EHVI",16,"initial",1,0.944742189208046,2,7,160065373.954389,14094446.0472455,1359720195.81768
1,"EHVI",17,"initial",3,0.882254885928705,2,6,283332756.213075,62891331.3675459,3809356033.71867
1,"EHVI",18,"initial",3,0.964189258823171,6,1,418736118.144819,37262299.8294179,4163128172.28375
1,"EHVI",19,"initial",3,0.929412038763985,6,5,429090545.796507,27349177.7717371,4012968830.3732
1,"EHVI",20,"initial",3,0.956586552457884,1,6,545265811.62979,36879928.421046,4130301586.87503
1,"EHVI",21,"sequential",1,0.90491608614102,2,1,161762776.852162,9081023.81375062,1302400476.97846
1,"EHVI",22,"sequential",1,0.810804122546688,9,1,140960465.662463,8591819.84539481,1166949833.37532
1,"EHVI",23,"sequential",3,0.894947229139507,4,5,608202582.19969,2411624.3466285,3864158398.61711
1,"EHVI",24,"sequential",3,0.909535131044686,1,3,588407325.47504,8652206.8665368,3927145312.06819
1,"EHVI",25,"sequential",3,0.962302662292495,4,3,610996031.968439,13764768.3818248,4154982320.11342
1,"EHVI",26,"sequential",3,0.86203423300758,8,6,359824970.707887,51829761.5703666,3722048309.56848
1,"EHVI",27,"sequential",3,0.835785664664581,9,4,394364445.552379,26693205.1388476,3608713553.6055
1,"EHVI",28,"sequential",3,0.970688525168225,2,8,321889291.704921,67635204.9050998,4191190379.5451
1,"EHVI",29,"sequential",1,0.916804181598127,7,8,182518837.507814,13205796.1969179,1319510418.3651
1,"EHVI",30,"sequential",3,0.960669341497123,9,6,331460470.962767,66700026.5764524,4147930049.2492
1,"EHVI",31,"sequential",1,0.809479639353231,6,1,143998945.771641,8234235.57197994,1165043570.93914
1,"EHVI",32,"sequential",1,0.811947219539434,3,7,200952807.010643,2471966.64392116,1168595035.72213
1,"EHVI",33,"sequential",1,0.914905019802973,8,1,162978811.191153,9240498.5730969,1316777049.75143
1,"EHVI",34,"sequential",1,0.951608636649325,6,1,161537117.302769,10441031.7432534,1369602730.29754
1,"EHVI",35,"sequential",1,0.866828972660005,9,5,150888528.849837,9145344.74191248,1247583598.90091
1,"EHVI",36,"sequential",3,0.895472672441974,3,2,579211690.575483,8532758.68875855,3866427131.43634
1,"EHVI",37,"sequential",1,0.800403755251318,2,5,149616758.136446,7319168.08971133,1151981104.74546
1,"EHVI",38,"sequential",1,0.913826962606981,8,2,138650028.459417,18445775.9885627,1315225455.9321
1,"EHVI",39,"sequential",3,0.880324991932139,3,1,569447773.573544,8404092.50842795,3801023233.91499
1,"EHVI",40,"sequential",3,0.888119789306074,4,7,501038335.709635,39943806.5826745,3834679220.2763
1,"EHVI",41,"sequential",1,0.901616322854534,3,2,203272071.877418,9033838.68843748,1297651292.66839
1,"EHVI",42,"sequential",1,0.810485479328781,1,2,240946659.232372,0,1166491226.12395
1,"EHVI",43,"sequential",3,0.842102515976876,5,7,562420887.173729,23936235.9429259,3635988138.35915
1,"EHVI",44,"sequential",1,0.823521447274834,3,5,207094459.152991,0,1185253242.9903
1,"EHVI",45,"sequential",3,0.858429015753791,3,7,497910718.064327,32062332.4844951,3706481882.77093
1,"EHVI",46,"sequential",3,0.861080916551873,4,1,575916866.215686,8825599.20039,3717932127.44185
1,"EHVI",47,"sequential",3,0.825345023814589,4,5,578729878.37201,0,3563633476.57544
1,"EHVI",48,"sequential",1,0.96130658830516,3,3,241699601.028069,10675.9719384611,1383560507.2182
1,"EHVI",49,"sequential",1,0.969312051171437,4,8,188390851.347543,14673478.5618373,1395082369.64849
1,"EHVI",50,"sequential",3,0.852702884562314,2,5,379017257.811274,24383819.0572234,3681757879.81893
1,"EHVI",51,"sequential",1,0.859870153153315,6,7,143986726.137806,12323265.3581183,1237568117.92591
1,"EHVI",52,"sequential",3,0.939725805586204,5,9,708449379.008347,0,4057501097.06983
1,"EHVI",53,"sequential",1,0.920696549862623,1,1,231429843.336623,10675.9719384611,1325112509.38978
1,"EHVI",54,"sequential",3,0.823285249667242,8,3,409010415.752708,25865775.583693,3554739886.75073
1,"EHVI",55,"sequential",3,0.909507962223142,9,2,298084210.531482,67046589.9910398,3927028003.88897
