"seed","method","evaluation","hypervolume","IGD_plus","pareto_size"
1,"EHVI",64,0.542766769584518,0.0870223140440242,10
1,"EHVI",65,0.542766769584518,0.0870223140440242,10
1,"EHVI",66,0.542876333718165,0.0870223140440242,11
1,"EHVI",67,0.542876333718165,0.0870223140440242,11
1,"EHVI",68,0.542876333718165,0.0870223140440242,11
1,"EHVI",69,0.542876333718165,0.0870223140440242,11
1,"EHVI",70,0.542876333718165,0.0870223140440242,11
1,"EHVI",71,0.542876333718165,0.0870223140440242,11
1,"EHVI",72,0.542876333718165,0.0870223140440242,11
1,"EHVI",73,0.542876333718165,0.0870223140440242,11
1,"EHVI",74,0.542876333718165,0.0870223140440242,11
1,"EHVI",75,0.542876333718165,0.0870223140440242,11
1,"EHVI",76,0.542876333718165,0.0870223140440242,11
1,"EHVI",77,0.542876333718165,0.0870223140440242,11
1,"EHVI",78,0.542876333718165,0.0870223140440242,11
1,"EHVI",79,0.542876333718165,0.0870223140440242,11
1,"EHVI",80,0.543064822255545,0.0870223140440242,12
1,"EHVI",81,0.543064822255545,0.0870223140440242,12
1,"EHVI",82,0.543064822255545,0.0870223140440242,12
1,"EHVI",83,0.543064822255545,0.0870223140440242,12
1,"EHVI",84,0.543064822255545,0.0870223140440242,12
1,"EHVI",85,0.543266252346805,0.0870223140440242,13
1,"EHVI",86,0.543266252346805,0.0870223140440242,13
1,"EHVI",87,0.543266252346805,0.0870223140440242,13
1,"EHVI",88,0.54328034330654,0.0870223140440242,14
1,"EHVI",89,0.54328034330654,0.0870223140440242,14
1,"EHVI",90,0.545058108159772,0.0868599669329254,13
1,"EHVI",91,0.545058108159772,0.0868599669329254,13
1,"EHVI",92,0.545058108159772,0.0868599669329254,13
1,"EHVI",93,0.545058108159772,0.0868599669329254,13
1,"EHVI",94,0.545058108159772,0.0868599669329254,13
1,"EHVI",95,0.545058108159772,0.0868599669329254,13
1,"EHVI",96,0.545058108159772,0.0868599669329254,13
