"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EHVI",84,"hypervolume",10,0.601487901457304,0.0362122433693925,0.011451316823161,0.575583223082319,0.62739257983229
"EHVI",85,"hypervolume",10,0.601799393939589,0.0364196917027698,0.0115169177461889,0.57574631596669,0.627852471912488
"EHVI",86,"hypervolume",10,0.601833237577935,0.0364629254078496,0.0115305894441629,0.575749232075536,0.627917243080333
"EHVI",87,"hypervolume",10,0.601871917924076,0.0364826629016139,0.0115368309877227,0.575773793069207,0.627970042778946
"EHVI",88,"hypervolume",10,0.603551851188677,0.037434012698361,0.0118376742086486,0.57677317168671,0.630330530690643
"EHVI",89,"hypervolume",10,0.60369649845761,0.0376108933022701,0.0118936087668745,0.576791286194105,0.630601710721115
"EHVI",90,"hypervolume",10,0.60388184921098,0.0372904957517779,0.0117922901652451,0.577205835547876,0.630557862874085
"EHVI",91,"hypervolume",10,0.604434674695949,0.0375681514519462,0.0118800926070312,0.577560038110247,0.63130931128165
"EHVI",92,"hypervolume",10,0.605225671398546,0.0373217604784104,0.0118021769399032,0.578527292297332,0.631924050499759
"EHVI",93,"hypervolume",10,0.605275276207496,0.0373947038580013,0.011825243661877,0.578524716555947,0.632025835859045
"EHVI",94,"hypervolume",10,0.606499911290767,0.0367552407834044,0.0116230276823469,0.580206795965744,0.63279302661579
"EHVI",95,"hypervolume",10,0.606500008132792,0.0367551695639448,0.0116230051607763,0.580206943755102,0.632793072510483
"EHVI",96,"hypervolume",10,0.607015871393552,0.0369060284264129,0.0116707109218385,0.580614889086768,0.633416853700336
"EHVI",97,"hypervolume",10,0.607142786251912,0.0369765421911454,0.0116930093321333,0.580691361436561,0.633594211067264
"EHVI",98,"hypervolume",10,0.607313970970496,0.0372821887851622,0.0117896632717499,0.580643899753329,0.633984042187664
"EHVI",99,"hypervolume",10,0.607348254873179,0.0372584068023224,0.011782142748445,0.580695196261673,0.634001313484684
"EHVI",100,"hypervolume",10,0.607476532233719,0.0374359497528784,0.0118382867590713,0.580696467046426,0.634256597421011
"EPI",1,"hypervolume",10,0.148194107707961,0.0789731317447598,0.0249734970269988,0.0917001325282158,0.204688082887706
"EPI",2,"hypervolume",10,0.310942585364248,0.0855960164878892,0.0270678370739056,0.249710883846058,0.372174286882439
"EPI",3,"hypervolume",10,0.347643570972827,0.0647193209591459,0.0204660462850374,0.30134615777497,0.393940984170684
"EPI",4,"hypervolume",10,0.359389320994423,0.0654614646893856,0.0207007327389145,0.312561010153916,0.40621763183493
"EPI",5,"hypervolume",10,0.37395895119262,0.0677115480771166,0.0214122715819683,0.32552102766169,0.42239687472355
"EPI",6,"hypervolume",10,0.380325051003672,0.06423899797018,0.0203141548192702,0.334371240173068,0.426278861834276
"EPI",7,"hypervolume",10,0.405566837606889,0.0657064754897948,0.0207782119569779,0.358563256598272,0.452570418615506
"EPI",8,"hypervolume",10,0.408579994501784,0.06328870961357,0.0200136472551876,0.363305979009744,0.453854009993823
"EPI",9,"hypervolume",10,0.41008216223933,0.0634964467554892,0.0200793395074955,0.364659540548192,0.455504783930468
"EPI",10,"hypervolume",10,0.413561513327643,0.0644330687667499,0.0203755253937186,0.367468872612466,0.45965415404282
"EPI",11,"hypervolume",10,0.419236140610343,0.0621837503128922,0.0196642284439947,0.37475256538486,0.463719715835826
"EPI",12,"hypervolume",10,0.420808485757837,0.0624479241750552,0.0197477675542666,0.376135931935679,0.465481039579995
"EPI",13,"hypervolume",10,0.454349553257062,0.0538490101480091,0.017028552181323,0.415828291967999,0.492870814546124
"EPI",14,"hypervolume",10,0.463816709883956,0.0483395168181277,0.0152862974137299,0.429236702696823,0.498396717071088
"EPI",15,"hypervolume",10,0.470860549712149,0.0547797055882429,0.0173228639212301,0.43167350901256,0.510047590411739
"EPI",16,"hypervolume",10,0.47255377158136,0.0548022313333503,0.0173299871872833,0.433350616934446,0.511756926228274
"EPI",17,"hypervolume",10,0.473286708694334,0.0548505477988428,0.0173452661952279,0.434048990530157,0.51252442685851
"EPI",18,"hypervolume",10,0.48424811457879,0.0542138812243678,0.017143934546684,0.445465840245465,0.523030388912115
"EPI",19,"hypervolume",10,0.490161314682554,0.0521990504256415,0.0165067891043009,0.45282036347546,0.527502265889647
"EPI",20,"hypervolume",10,0.490370966573927,0.0521810876898145,0.0165011087884788,0.453042865133957,0.527699068013897
"EPI",21,"hypervolume",10,0.491439018149637,0.0515962555458352,0.0163161686260933,0.454529280422697,0.528348755876578
"EPI",22,"hypervolume",10,0.499715348954953,0.05490728214723,0.0173632071714748,0.460437045482852,0.538993652427053
"EPI",23,"hypervolume",10,0.501527119902473,0.0529936903102848,0.0167580762998095,0.46361771756614,0.539436522238806
"EPI",24,"hypervolume",10,0.51539297159352,0.0509154890178868,0.0161008913477812,0.478970224903701,0.551815718283339
"EPI",25,"hypervolume",10,0.522130378402323,0.0557501370329974,0.0176297412890774,0.482249132866958,0.562011623937689
"EPI",26,"hypervolume",10,0.522310109937717,0.0556436661707127,0.0175960722461512,0.482505029068971,0.562115190806463
"EPI",27,"hypervolume",10,0.522795030299936,0.0556582196848555,0.0176006744714162,0.482979538474342,0.56261052212553
