"method","evaluation","metric","n","mean","sd","se","ci_low_95","ci_high_95"
"EPI",23,"IGD_plus",10,0.131096965207162,0.0409481153051691,0.0129489310255535,0.101804448137126,0.160389482277198
"EPI",24,"IGD_plus",10,0.125340671546492,0.037105077873879,0.0117336558839376,0.0987972978428335,0.151884045250151
"EPI",25,"IGD_plus",10,0.119237444112025,0.0421242270745118,0.0133208502229589,0.0891035873655961,0.149371300858453
"EPI",26,"IGD_plus",10,0.119237444112025,0.0421242270745118,0.0133208502229589,0.0891035873655961,0.149371300858453
"EPI",27,"IGD_plus",10,0.119134019205194,0.0421109307206125,0.0133166455466691,0.0890096740973516,0.149258364313036
"EPI",28,"IGD_plus",10,0.118992169986858,0.0419911506615162,0.0132787677661677,0.0889535103714874,0.149030829602228
"EPI",29,"IGD_plus",10,0.106344902572695,0.0430670726796865,0.0136190041823821,0.0755365747113407,0.137153230434049
"EPI",30,"IGD_plus",10,0.104789366907122,0.0431094340872279,0.0136324000356542,0.0739507355203364,0.135627998293908
"EPI",31,"IGD_plus",10,0.0991278214579853,0.0368583329513661,0.0116556282883153,0.0727609584386595,0.125494684477311
"EPI",32,"IGD_plus",10,0.0978366941343588,0.0363227409325423,0.0114862592207062,0.0718529705644813,0.123820417704236
"EPI",33,"IGD_plus",10,0.0978366941343588,0.0363227409325423,0.0114862592207062,0.0718529705644813,0.123820417704236
"EPI",34,"IGD_plus",10,0.0976076807440326,0.0365042701122699,0.0115436637876783,0.0714940990218018,0.123721262466263
"EPI",35,"IGD_plus",10,0.0975529280745372,0.0364813106622307,0.0115364033720835,0.0714557705534492,0.123650085595625
"EPI",36,"IGD_plus",10,0.089529469477771,0.0182932212594585,0.00578482449213028,0.076443287317368,0.102615651638174
"EPI",37,"IGD_plus",10,0.0875293158178929,0.0197726186483474,0.00625265102346975,0.0733848365186733,0.101673795117113
"EPI",38,"IGD_plus",10,0.0872178927943621,0.0195084326939639,0.00616910808930206,0.0732624007420711,0.101173384846653
"EPI",39,"IGD_plus",10,0.0872178927943621,0.0195084326939639,0.00616910808930206,0.0732624007420711,0.101173384846653
"EPI",40,"IGD_plus",10,0.0855421825179302,0.0193360420784598,0.00611459339007892,0.0717100112829646,0.0993743537528958
"EPI",41,"IGD_plus",10,0.0850586759340969,0.0193256927160345,0.00611132063431946,0.0712339081870146,0.0988834436811791
"EPI",42,"IGD_plus",10,0.0830150568629201,0.016615168240101,0.00525417753456105,0.0711292815184994,0.0949008322073408
"EPI",43,"IGD_plus",10,0.0830150568629201,0.016615168240101,0.00525417753456105,0.0711292815184994,0.0949008322073408
"EPI",44,"IGD_plus",10,0.0830150568629201,0.016615168240101,0.00525417753456105,0.0711292815184994,0.0949008322073408
"EPI",45,"IGD_plus",10,0.0830150568629201,0.016615168240101,0.00525417753456105,0.0711292815184994,0.0949008322073408
"EPI",46,"IGD_plus",10,0.0830150568629201,0.016615168240101,0.00525417753456105,0.0711292815184994,0.0949008322073408
"EPI",47,"IGD_plus",10,0.0794252333703908,0.0138711228903448,0.00438643420375877,0.0695024298172148,0.0893480369235667
"EPI",48,"IGD_plus",10,0.0793747021607514,0.0138241205270136,0.00437157075140503,0.0694855220727814,0.0892638822487214
"EPI",49,"IGD_plus",10,0.0793747021607514,0.0138241205270136,0.00437157075140503,0.0694855220727814,0.0892638822487214
"EPI",50,"IGD_plus",10,0.0793747021607514,0.0138241205270136,0.00437157075140503,0.0694855220727814,0.0892638822487214
"EPI",51,"IGD_plus",10,0.0791651664702692,0.0138649072586794,0.00438446864844284,0.06924680931213,0.0890835236284083
"EPI",52,"IGD_plus",10,0.0789543134437976,0.0138262071864091,0.0043722306110441,0.0690636406496186,0.0888449862379766
"EPI",53,"IGD_plus",10,0.078948417595774,0.0138285306892079,0.00437296536714349,0.0690560826678219,0.0888407525237261
"EPI",54,"IGD_plus",10,0.0774390821977629,0.0152346177598377,0.00481760914031391,0.0665408931734397,0.0883372712220861
"EPI",55,"IGD_plus",10,0.0743832509225045,0.0153195378052447,0.00484446321656303,0.063424313757244,0.085342188087765
"EPI",56,"IGD_plus",10,0.0743832509225045,0.0153195378052447,0.00484446321656303,0.063424313757244,0.085342188087765
"EPI",57,"IGD_plus",10,0.0741677463578367,0.0155397870884818,0.00491411215536789,0.0630512523467775,0.0852842403688959
"EPI",58,"IGD_plus",10,0.0741677463578367,0.0155397870884818,0.00491411215536789,0.0630512523467775,0.0852842403688959
"EPI",59,"IGD_plus",10,0.0741605296890163,0.0155389631976935,0.00491385161822449,0.0630446250539222,0.0852764343241104
"EPI",60,"IGD_plus",10,0.0730602848222447,0.0165474853520462,0.00523277432607391,0.0612229268992101,0.0848976427452793
"EPI",61,"IGD_plus",10,0.0717688577861643,0.0165772697108036,0.00524219296730602,0.0599101934164026,0.083627522155926
"EPI",62,"IGD_plus",10,0.0694764769654354,0.0138479004469379,0.00437909062235874,0.0595702857475241,0.0793826681833467
"EPI",63,"IGD_plus",10,0.0694139889882115,0.0136815808070824,0.00432649573420253,0.0596267756732693,0.0792012023031536
"EPI",64,"IGD_plus",10,0.0693962132739612,0.0136344210564033,0.00431158251159934,0.0596427360123513,0.0791496905355712
"EPI",65,"IGD_plus",10,0.0692117636557522,0.0131492690142376,0.00415816396512679,0.0598053432579513,0.0786181840535532
"EPI",66,"IGD_plus",10,0.0692117636557522,0.0131492690142376,0.00415816396512679,0.0598053432579513,0.0786181840535532
"EPI",67,"IGD_plus",10,0.0688478881077084,0.0136710418305079,0.00432316301718424,0.0590682139224408,0.078627562292976
"EPI",68,"IGD_plus",10,0.0688478881077084,0.0136710418305079,0.00432316301718424,0.0590682139224408,0.078627562292976
"EPI",69,"IGD_plus",10,0.0687912763119,0.0135277445344069,0.004277848433362,0.0591141108370051,0.0784684417867949
"EPI",70,"IGD_plus",10,0.0687648535594839,0.0135150379135359,0.00427383024703034,0.0590967778535806,0.0784329292653872
"EPI",71,"IGD_plus",10,0.0687648535594839,0.0135150379135359,0.00427383024703034,0.0590967778535806,0.0784329292653872
"EPI",72,"IGD_plus",10,0.0687648535594839,0.0135150379135359,0.00427383024703034,0.0590967778535806,0.0784329292653872
"EPI",73,"IGD_plus",10,0.0685872073518561,0.0135660889395996,0.00428997399895533,0.0588826119419012,0.0782918027618109
"EPI",74,"IGD_plus",10,0.0685872073518561,0.0135660889395996,0.00428997399895533,0.0588826119419012,0.0782918027618109
"EPI",75,"IGD_plus",10,0.0685872073518561,0.0135660889395996,0.00428997399895533,0.0588826119419012,0.0782918027618109
"EPI",76,"IGD_plus",10,0.0684081103536007,0.0137176151897344,0.00433789080652834,0.0585951195941762,0.0782211011130253
"EPI",77,"IGD_plus",10,0.0684081103536007,0.0137176151897344,0.00433789080652834,0.0585951195941762,0.0782211011130253
"EPI",78,"IGD_plus",10,0.0684081103536007,0.0137176151897344,0.00433789080652834,0.0585951195941762,0.0782211011130253
"EPI",79,"IGD_plus",10,0.0682316646854236,0.0138675533681304,0.00438530542172315,0.0583114146146148,0.0781519147562325
"EPI",80,"IGD_plus",10,0.0681885829416752,0.0139118367505748,0.0043993090568252,0.0582366544474151,0.0781405114359354
"EPI",81,"IGD_plus",10,0.0681885829416752,0.0139118367505748,0.0043993090568252,0.0582366544474151,0.0781405114359354
"EPI",82,"IGD_plus",10,0.0680912761687413,0.0139352317352836,0.00440670720057569,0.0581226119106046,0.078059940426878
"EPI",83,"IGD_plus",10,0.0680298630476723,0.0139560560880551,0.00441329243913137,0.0580463019449682,0.0780134241503765
"EPI",84,"IGD_plus",10,0.0680298630476723,0.0139560560880551,0.00441329243913137,0.0580463019449682,0.0780134241503765
"EPI",85,"IGD_plus",10,0.0670009803926372,0.0136168477822776,0.00430602535438098,0.0572600742940335,0.0767418864912408
