"cost_scenario","seed","method","final_hypervolume","final_IGD_plus","pareto_size","minimum_cost_eur","maximum_storage_m3yr","minimum_unretained_m3"
"all_chain_costs_plus25pct",10,"EHVI",0.583208418177494,0.056552410589408,38,1440635086.60698,742223653.818252,0
"all_chain_costs_plus25pct",10,"EPI",0.591730253991365,0.0529270336624519,11,1444443499.7839,742223653.818252,0
"capture_low_JRC_40",1,"TS",0.58084935178065,0.0630340042729551,46,878057083.346927,686520641.993336,0
"capture_low_JRC_40",1,"SCAL",0.564951198580663,0.0683516993220564,48,868513279.614458,752581342.547672,0
"capture_low_JRC_40",1,"EHVI",0.546198993054544,0.0716999636469693,14,866837266.937178,708449379.008347,0
"capture_low_JRC_40",1,"EPI",0.643142852446114,0.0405320290972818,15,867965643.672505,746156639.392763,0
"capture_low_JRC_40",2,"TS",0.5632406169979,0.064461468935245,46,866611533.675017,710722176.985894,0
"capture_low_JRC_40",2,"SCAL",0.609649908472565,0.0458874128944785,35,868130289.974296,781940501.422216,0
"capture_low_JRC_40",2,"EHVI",0.58465916722922,0.0597765472649137,46,868655786.201824,745218692.654919,0
"capture_low_JRC_40",2,"EPI",0.633596670653868,0.0395242083034084,11,868655786.201824,730113362.114074,0
"capture_low_JRC_40",3,"TS",0.574274337807927,0.056818608002542,20,868044705.745624,768819823.336136,0
"capture_low_JRC_40",3,"SCAL",0.630579341378084,0.0319124533921022,25,870379186.075134,833949418.666173,0
"capture_low_JRC_40",3,"EHVI",0.627853909031785,0.0539482689670367,23,866834337.292705,778442761.85845,0
"capture_low_JRC_40",3,"EPI",0.587924900548248,0.0568064217999543,14,870174762.834655,723179514.294899,0
"capture_low_JRC_40",4,"TS",0.590680088510506,0.0585821433926008,27,873205661.291303,712680498.078651,0
"capture_low_JRC_40",4,"SCAL",0.687263909579833,0.0113642944265491,18,868354577.729339,803412879.036328,0
"capture_low_JRC_40",4,"EHVI",0.625340503821786,0.0347392622010078,29,868180338.874273,817983513.908264,0
"capture_low_JRC_40",4,"EPI",0.614191247572563,0.0455892901272951,15,868539860.091358,718170293.177989,0
"capture_low_JRC_40",5,"TS",0.598279392071556,0.0489590976890641,14,867004095.998592,765074456.51798,0
